amn	net/minecraft/block/properties/PropertyInteger
amo	net/minecraft/block/properties/IProperty
amq	net/minecraft/world/border/IBorderListener
amr	net/minecraft/world/border/EnumBorderStatus
ams	net/minecraft/world/border/WorldBorder
amv	net/minecraft/world/chunk/IChunkProvider
amw	net/minecraft/world/chunk/NibbleArray
amx	net/minecraft/world/chunk/EmptyChunk
amy	net/minecraft/world/chunk/Chunk
amy$a	amy$EnumCreateEntityType
amz	net/minecraft/world/chunk/storage/ExtendedBlockStorage
an	net/minecraft/command/server/CommandListBans
ana	net/minecraft/world/chunk/storage/NibbleArrayReader
and	net/minecraft/world/chunk/storage/IChunkLoader
ang	net/minecraft/world/chunk/storage/ChunkLoader
ang$a	ang$AnvilConverterData
anh	net/minecraft/world/chunk/storage/RegionFile
anh$a	anh$ChunkBuffer
ani	net/minecraft/world/chunk/storage/RegionFileCache
anj	net/minecraft/world/chunk/storage/AnvilChunkLoader
anm	net/minecraft/world/WorldProvider
ann	net/minecraft/world/WorldProviderHell
ano	net/minecraft/world/WorldProviderSurface
anp	net/minecraft/world/WorldProviderEnd
anr	net/minecraft/world/gen/MapGenRavine
ans	net/minecraft/world/chunk/ChunkPrimer
ant	net/minecraft/world/gen/ChunkProviderSettings
ant$a	ant$Factory
ant$b	ant$Serializer
anu	net/minecraft/world/gen/ChunkProviderDebug
anv	net/minecraft/world/gen/ChunkProviderFlat
anw	net/minecraft/world/gen/ChunkProviderHell
anx	net/minecraft/world/gen/MapGenCaves
any	net/minecraft/world/gen/MapGenBase
anz	net/minecraft/world/gen/MapGenCavesHell
ao	net/minecraft/command/server/CommandListPlayers
aoa	net/minecraft/world/gen/ChunkProviderGenerate
aob	net/minecraft/world/gen/ChunkProviderEnd
aoh	net/minecraft/world/gen/feature/WorldGenAbstractTree
aoi	net/minecraft/world/gen/feature/WorldGenBigTree
aoi$a	aoi$FoliageCoordinates
aoj	net/minecraft/world/gen/feature/WorldGenForest
aok	net/minecraft/world/gen/feature/WorldGenBlockBlob
aol	net/minecraft/world/gen/feature/WorldGeneratorBonusChest
aom	net/minecraft/world/gen/GeneratorBushFeature
aon	net/minecraft/world/gen/feature/WorldGenCactus
aop	net/minecraft/world/gen/feature/WorldGenClay
aoq	net/minecraft/world/gen/feature/WorldGenDeadBush
aor	net/minecraft/world/gen/feature/WorldGenDesertWells
aos	net/minecraft/world/gen/feature/WorldGenDoublePlant
aot	net/minecraft/world/gen/feature/WorldGenerator
aou	net/minecraft/world/gen/feature/WorldGenFlowers
aov	net/minecraft/world/gen/feature/WorldGenShrub
aow	net/minecraft/world/gen/feature/WorldGenFire
aox	net/minecraft/world/gen/feature/WorldGenGlowStone2
aoy	net/minecraft/world/gen/feature/WorldGenHellLava
aoz	net/minecraft/world/gen/feature/WorldGenBigMushroom
ap	net/minecraft/command/server/CommandMessage
apa	net/minecraft/world/gen/feature/WorldGenIcePath
apb	net/minecraft/world/gen/feature/WorldGenIceSpike
apc	net/minecraft/world/gen/feature/WorldGenLakes
apd	net/minecraft/world/gen/feature/WorldGenGlowStone1
ape	net/minecraft/world/gen/feature/WorldGenMegaJungle
apf	net/minecraft/world/gen/feature/WorldGenMegaPineTree
apg	net/minecraft/world/gen/feature/WorldGenHugeTrees
aph	net/minecraft/world/gen/feature/WorldGenMelon
api	net/minecraft/world/gen/feature/WorldGenDungeons
apj	net/minecraft/world/gen/feature/WorldGenMinable
apk	net/minecraft/world/gen/feature/WorldGenTaiga1
apl	net/minecraft/world/gen/feature/WorldGenPumpkin
apm	net/minecraft/world/gen/feature/WorldGenReed
apn	net/minecraft/world/gen/feature/WorldGenCanopyTree
apo	net/minecraft/world/gen/feature/WorldGenSand
app	net/minecraft/world/gen/feature/WorldGenSavannaTree
apq	net/minecraft/world/gen/feature/WorldGenSpikes
apr	net/minecraft/world/gen/feature/WorldGenLiquids
aps	net/minecraft/world/gen/feature/WorldGenTaiga2
apt	net/minecraft/world/gen/feature/WorldGenSwamp
apu	net/minecraft/world/gen/feature/WorldGenTallGrass
apv	net/minecraft/world/gen/feature/WorldGenTrees
apw	net/minecraft/world/gen/feature/WorldGenVines
apx	net/minecraft/world/gen/feature/WorldGenWaterlily
apz	net/minecraft/world/gen/FlatGeneratorInfo
aq	net/minecraft/command/server/CommandMessageRaw
aqa	net/minecraft/world/gen/FlatLayerInfo
aqe	net/minecraft/world/gen/structure/StructureBoundingBox
aqf	net/minecraft/world/gen/structure/MapGenMineshaft
aqg	net/minecraft/world/gen/structure/StructureMineshaftPieces
aqg$a	aqg$Corridor
aqg$b	aqg$Cross
aqg$c	aqg$Room
aqg$d	aqg$Stairs
aqh	net/minecraft/world/gen/structure/StructureMineshaftStart
aqi	net/minecraft/world/gen/structure/MapGenNetherBridge
aqi$a	aqi$Start
aqj	net/minecraft/world/gen/structure/StructureNetherBridgePieces
aqj$a	aqj$Crossing3
aqj$b	aqj$End
aqj$c	aqj$Straight
aqj$d	aqj$Corridor3
aqj$e	aqj$Corridor4
aqj$f	aqj$Entrance
aqj$g	aqj$Crossing2
aqj$h	aqj$Corridor
aqj$i	aqj$Corridor5
aqj$j	aqj$Corridor2
aqj$k	aqj$NetherStalkRoom
aqj$l	aqj$Throne
aqj$m	aqj$Piece
aqj$n	aqj$PieceWeight
aqj$o	aqj$Crossing
aqj$p	aqj$Stairs
aqj$q	aqj$Start
aqk	net/minecraft/world/gen/structure/StructureOceanMonument
aqk$a	aqk$StartMonument
aql	net/minecraft/world/gen/structure/StructureOceanMonumentPieces
aql$a	aql$XDoubleRoomFitHelper
aql$b	aql$XYDoubleRoomFitHelper
aql$c	aql$YDoubleRoomFitHelper
aql$d	aql$YZDoubleRoomFitHelper
aql$e	aql$ZDoubleRoomFitHelper
aql$f	aql$FitSimpleRoomHelper
aql$g	aql$FitSimpleRoomTopHelper
aql$h	aql$MonumentBuilding
aql$i	aql$MonumentRoomFitHelper
aql$j	aql$MonumentCoreRoom
aql$k	aql$DoubleXRoom
aql$l	aql$DoubleXYRoom
aql$m	aql$DoubleYRoom
aql$n	aql$DoubleYZRoom
aql$o	aql$DoubleZRoom
aql$p	aql$EntryRoom
aql$q	aql$Penthouse
aql$r	aql$Piece
aql$s	aql$SimpleRoom
aql$t	aql$SimpleTopRoom
aql$u	aql$WingRoom
aql$v	aql$RoomDefinition
aqm	net/minecraft/world/gen/structure/MapGenScatteredFeature
aqm$a	aqm$Start
aqn	net/minecraft/world/gen/structure/ComponentScatteredFeaturePieces
aqn$a	aqn$DesertPyramid
aqn$b	aqn$JunglePyramid
aqn$b$a	aqn$b$Stones
aqn$c	aqn$Feature
aqn$d	aqn$SwampHut
aqo	net/minecraft/world/gen/structure/MapGenStronghold
aqo$a	aqo$Start
aqp	net/minecraft/world/gen/structure/StructureStrongholdPieces
aqp$a	aqp$ChestCorridor
aqp$b	aqp$Corridor
aqp$c	aqp$Crossing
aqp$d	aqp$LeftTurn
aqp$e	aqp$Library
aqp$f	aqp$PieceWeight
aqp$g	aqp$PortalRoom
aqp$h	aqp$Prison
aqp$i	aqp$RightTurn
aqp$j	aqp$RoomCrossing
aqp$k	aqp$Stones
aqp$l	aqp$Stairs
aqp$m	aqp$Stairs2
aqp$n	aqp$Straight
aqp$o	aqp$StairsStraight
aqp$p	aqp$Stronghold
aqp$p$a	aqp$p$Door
aqq	net/minecraft/world/gen/structure/MapGenStructure
aqr	net/minecraft/world/gen/structure/MapGenStructureIO
aqs	net/minecraft/world/gen/structure/MapGenStructureData
aqt	net/minecraft/world/gen/structure/StructureComponent
aqt$a	aqt$BlockSelector
aqu	net/minecraft/world/gen/structure/StructureStart
aqv	net/minecraft/world/gen/structure/MapGenVillage
aqv$a	aqv$Start
aqw	net/minecraft/world/gen/structure/StructureVillagePieces
aqw$a	aqw$House1
aqw$b	aqw$Field1
aqw$c	aqw$Field2
aqw$d	aqw$Torch
aqw$e	aqw$PieceWeight
aqw$f	aqw$Hall
aqw$g	aqw$House4Garden
aqw$h	aqw$WoodHut
aqw$i	aqw$Church
aqw$j	aqw$House2
aqw$k	aqw$Start
aqw$l	aqw$Path
aqw$m	aqw$House3
aqw$n	aqw$Village
aqw$o	aqw$Road
aqw$p	aqw$Well
ar	net/minecraft/command/server/CommandOp
arb	net/minecraft/world/gen/NoiseGeneratorImproved
arc	net/minecraft/world/gen/NoiseGeneratorOctaves
ard	net/minecraft/world/gen/NoiseGeneratorPerlin
arg	net/minecraft/world/gen/NoiseGeneratorSimplex
arh	net/minecraft/world/gen/NoiseGenerator
arj	net/minecraft/block/material/MaterialLogic
ark	net/minecraft/block/material/MaterialTransparent
arl	net/minecraft/block/material/MaterialLiquid
arm	net/minecraft/block/material/Material
arn	net/minecraft/block/material/MapColor
aro	net/minecraft/block/material/MaterialPortal
arq	net/minecraft/world/gen/layer/GenLayerDeepOcean
arr	net/minecraft/world/gen/layer/GenLayerEdge
arr$a	arr$Mode
ars	net/minecraft/world/gen/layer/GenLayerAddIsland
art	net/minecraft/world/gen/layer/GenLayerAddMushroomIsland
aru	net/minecraft/world/gen/layer/GenLayerAddSnow
arv	net/minecraft/world/gen/layer/GenLayerBiomeEdge
arw	net/minecraft/world/gen/layer/GenLayerBiome
as	net/minecraft/command/server/CommandPardonIp
asa	net/minecraft/world/gen/layer/GenLayerFuzzyZoom
asc	net/minecraft/world/gen/layer/IntCache
asd	net/minecraft/world/gen/layer/GenLayerIsland
ase	net/minecraft/world/gen/layer/GenLayer
asf	net/minecraft/world/gen/layer/GenLayerRareBiome
asg	net/minecraft/world/gen/layer/GenLayerHills
ash	net/minecraft/world/gen/layer/GenLayerRemoveTooMuchOcean
asi	net/minecraft/world/gen/layer/GenLayerRiverInit
asj	net/minecraft/world/gen/layer/GenLayerRiver
ask	net/minecraft/world/gen/layer/GenLayerRiverMix
asl	net/minecraft/world/gen/layer/GenLayerShore
asm	net/minecraft/world/gen/layer/GenLayerSmooth
asq	net/minecraft/world/gen/layer/GenLayerVoronoiZoom
asr	net/minecraft/world/gen/layer/GenLayerZoom
asu	net/minecraft/pathfinding/Path
asv	net/minecraft/pathfinding/PathPoint
asw	net/minecraft/world/pathfinder/NodeProcessor
asx	net/minecraft/pathfinding/PathEntity
asy	net/minecraft/pathfinding/PathFinder
asz	net/minecraft/world/pathfinder/SwimNodeProcessor
at	net/minecraft/command/server/CommandPardonPlayer
ata	net/minecraft/world/pathfinder/WalkNodeProcessor
ate	net/minecraft/world/WorldSavedData
atf	net/minecraft/util/Vec4b
atg	net/minecraft/world/storage/MapData
atg$a	atg$MapInfo
atj	net/minecraft/world/chunk/storage/AnvilSaveHandler
atk	net/minecraft/world/chunk/storage/AnvilSaveConverter
atl	net/minecraft/world/storage/DerivedWorldInfo
atm	net/minecraft/world/storage/SaveHandler
atn	net/minecraft/world/storage/SaveFormatOld
ato	net/minecraft/world/storage/WorldInfo
atp	net/minecraft/world/storage/ISaveHandler
atq	net/minecraft/client/AnvilConverterException
atr	net/minecraft/world/storage/ISaveFormat
ats	net/minecraft/world/storage/SaveFormatComparator
atx	net/minecraft/world/storage/SaveHandlerMP
aty	net/minecraft/world/storage/IPlayerFileData
atz	net/minecraft/world/storage/SaveDataMemoryStorage
au	net/minecraft/command/CommandParticle
aua	net/minecraft/world/storage/MapStorage
auc	net/minecraft/world/storage/ThreadedFileIOBase
aud	net/minecraft/world/storage/IThreadedFileIO
aug	net/minecraft/util/AxisAlignedBB
auh	net/minecraft/util/MovingObjectPosition
auh$a	auh$MovingObjectType
aui	net/minecraft/util/Vec3
auk	net/minecraft/scoreboard/ScoreObjective
aul	net/minecraft/scoreboard/ScorePlayerTeam
