src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/genesis/Equivalence$Identity.java	Equivalence$Identity	com.google.common.base.Equivalence$Identity	27.90	13.85	0	10	Equivalence$Identity; Object; Serializable
src/main/java/com/moonsworth/lunar/genesis/Equivalence$Wrapper.java	Equivalence$Wrapper	com.google.common.base.Equivalence$Wrapper	29.13	9.51	0	18	Equivalence$Wrapper; Nullable; Object
src/main/java/com/moonsworth/lunar/genesis/Escaper$1.java	Escaper$1	com.google.common.escape.Escaper$1	20.55	6.71	0	7	Escaper; Escaper$1; Function
src/main/java/com/moonsworth/lunar/genesis/Escaper.java	Escaper	com.google.common.escape.Escaper	49.02	27.40	0	18	DoNotMock; Escaper; Escaper$1
src/main/java/com/moonsworth/lunar/genesis/Escapers$2.java	Escapers$2	com.google.common.escape.Escapers$2	26.76	10.93	0	7	CharEscaper; Character; Escapers$2
src/main/java/com/moonsworth/lunar/genesis/Escapers$Builder.java	Escapers$Builder	com.google.common.escape.Escapers$Builder	50.60	19.51	0	25	Beta; CanIgnoreReturnValue; Character
src/main/java/com/moonsworth/lunar/genesis/EventBus$LoggingHandler.java	EventBus$LoggingHandler	com.google.common.eventbus.EventBus$LoggingHandler	96.74	61.57	2	30	 on subscriber ;  when dispatching event: ; EventBus$LoggingHandler; Exception; Level
src/main/java/com/moonsworth/lunar/genesis/EvictingQueue.java	EvictingQueue	com.google.common.collect.EvictingQueue	77.43	48.08	1	32	maxSize (%s) must >= 0; ArrayDeque; Beta; CanIgnoreReturnValue
src/main/java/com/moonsworth/lunar/genesis/ExecutorServiceExtension.java	ExecutorServiceExtension	com.google.common.util.concurrent.ListeningExecutorService	75.58	39.93	1	27	Use TestingExecutors.sameThreadScheduledExecutor, or wrap a real Executor from java.util.concurrent.Executors with MoreExecutors.listeningDecorator; Callable; Collection; DoNotMock
src/main/java/com/moonsworth/lunar/genesis/ExecutorType.java	ExecutorType	com.google.common.util.concurrent.DirectExecutor	32.45	13.58	1	13	MoreExecutors.directExecutor(); Executor; GwtCompatible; INSTANCE
src/main/java/com/moonsworth/lunar/genesis/ExtraObjectsMethodsForWeb.java	ExtraObjectsMethodsForWeb	com.google.common.base.ExtraObjectsMethodsForWeb	13.57	3.70	0	3	ExtraObjectsMethodsForWeb; GwtCompatible; emulated
src/main/java/com/moonsworth/lunar/genesis/FarmHashFingerprint64.java	FarmHashFingerprint64	com.google.common.hash.FarmHashFingerprint64	93.11	70.83	1	23	Hashing.farmHashFingerprint64(); FarmHashFingerprint64; HashFunction; Hashing
src/main/java/com/moonsworth/lunar/genesis/FileBackedOutputStream$1.java	FileBackedOutputStream$1	com.google.common.io.FileBackedOutputStream$1	28.83	13.44	0	11	FileBackedOutputStream$1; InputStream; System
src/main/java/com/moonsworth/lunar/genesis/FileBackedOutputStream$2.java	FileBackedOutputStream$2	com.google.common.io.FileBackedOutputStream$2	15.14	6.49	0	5	FileBackedOutputStream$2; InputStream; com
src/main/java/com/moonsworth/lunar/genesis/FileBackedOutputStream$MemoryOutput.java	FileBackedOutputStream$MemoryOutput	com.google.common.io.FileBackedOutputStream$MemoryOutput	24.53	13.03	0	8	ByteArrayOutputStream; FileBackedOutputStream$MemoryOutput; buf
src/main/java/com/moonsworth/lunar/genesis/FileSystemException.java	FileSystemException	com.google.common.io.InsecureRecursiveDeleteException	28.38	10.43	0	14	FileSystemException; Nullable; String
src/main/java/com/moonsworth/lunar/genesis/Files$FilePredicate$1.java	Files$FilePredicate$1	com.google.common.io.Files$FilePredicate$1	31.20	16.62	1	9	Files.isDirectory(); File; Files; Files$FilePredicate$1
src/main/java/com/moonsworth/lunar/genesis/Files$FilePredicate$2.java	Files$FilePredicate$2	com.google.common.io.Files$FilePredicate$2	31.57	16.62	1	9	Files.isFile(); File; Files; Files$FilePredicate$2
src/main/java/com/moonsworth/lunar/genesis/FilterInputStreamLoader.java	FilterInputStreamLoader	com.google.common.io.LittleEndianDataInputStream	101.51	34.30	1	38	readLine is not supported; CanIgnoreReturnValue; DataInput; DataInputStream
src/main/java/com/moonsworth/lunar/genesis/FilterInputStreamLoader_2.java	FilterInputStreamLoader_2	com.google.common.hash.HashingInputStream	37.80	13.60	1	16	reset not supported; CanIgnoreReturnValue; FilterInputStream; IOException
src/main/java/com/moonsworth/lunar/genesis/FilterOutputStreamSerializer2.java	FilterOutputStreamSerializer2	com.google.common.io.LittleEndianDataOutputStream	75.44	23.47	0	32	DataOutput; DataOutputStream; Deprecated
src/main/java/com/moonsworth/lunar/genesis/FilteredKeyListMultimap.java	FilteredKeyListMultimap	com.google.common.collect.FilteredKeyListMultimap	33.70	10.02	0	18	FilteredKeyListMultimap; GwtCompatible; Iterable
src/main/java/com/moonsworth/lunar/genesis/FilteredKeyMultimap$AddRejectingList.java	FilteredKeyMultimap$AddRejectingList	com.google.common.collect.FilteredKeyMultimap$AddRejectingList	53.02	25.07	0	25	CanIgnoreReturnValue; Collection; Collections
src/main/java/com/moonsworth/lunar/genesis/FilteredKeyMultimap$AddRejectingSet.java	FilteredKeyMultimap$AddRejectingSet	com.google.common.collect.FilteredKeyMultimap$AddRejectingSet	43.94	16.85	0	20	Collection; Collections; FilteredKeyMultimap$AddRejectingSet
src/main/java/com/moonsworth/lunar/genesis/FilteredMultimapValues.java	FilteredMultimapValues	com.google.common.collect.FilteredMultimapValues	66.92	17.61	0	39	AbstractCollection; Collection; Entry
src/main/java/com/moonsworth/lunar/genesis/FilteredSetMultimap.java	FilteredSetMultimap	com.google.common.collect.FilteredSetMultimap	14.93	5.00	0	4	FilteredSetMultimap; GwtCompatible; SetMultimap
src/main/java/com/moonsworth/lunar/genesis/FinalizablePhantomReference.java	FinalizablePhantomReference	com.google.common.base.FinalizablePhantomReference	27.06	9.85	0	9	FinalizablePhantomReference; FinalizableReference; GwtIncompatible
src/main/java/com/moonsworth/lunar/genesis/FinalizableReference.java	FinalizableReference	com.google.common.base.FinalizableReference	43.47	27.63	0	15	DoNotMock; Finalizable; FinalizableReference
src/main/java/com/moonsworth/lunar/genesis/FinalizableSoftReference.java	FinalizableSoftReference	com.google.common.base.FinalizableSoftReference	26.41	13.51	0	9	FinalizableReference; FinalizableSoftReference; GwtIncompatible
src/main/java/com/moonsworth/lunar/genesis/FinalizableWeakReference.java	FinalizableWeakReference	com.google.common.base.FinalizableWeakReference	25.85	11.93	0	9	FinalizableReference; FinalizableWeakReference; GwtIncompatible
src/main/java/com/moonsworth/lunar/genesis/Finalizer.java	Finalizer	com.google.common.base.internal.Finalizer	195.77	99.44	0	80	AssertionError; Class; Constructor
src/main/java/com/moonsworth/lunar/genesis/Floats$FloatConverter.java	Floats$FloatConverter	com.google.common.primitives.Floats$FloatConverter	43.74	25.09	1	14	Floats.stringConverter(); Float; Floats; Floats$FloatConverter
src/main/java/com/moonsworth/lunar/genesis/FloatsMethodsForWeb.java	FloatsMethodsForWeb	com.google.common.primitives.FloatsMethodsForWeb	13.92	4.29	0	3	FloatsMethodsForWeb; GwtCompatible; emulated
src/main/java/com/moonsworth/lunar/genesis/FluentIterable$FromIterableFunction.java	FluentIterable$FromIterableFunction	com.google.common.collect.FluentIterable$FromIterableFunction	16.53	5.00	0	5	FluentIterable; FluentIterable$FromIterableFunction; Function
src/main/java/com/moonsworth/lunar/genesis/FluentIterable.java	FluentIterable	com.google.common.collect.FluentIterable	109.82	32.72	0	59	Arrays; Beta; CanIgnoreReturnValue
src/main/java/com/moonsworth/lunar/genesis/Flushables.java	Flushables	com.google.common.io.Flushables	60.39	36.74	0	24	Beta; Flushable; Flushables
src/main/java/com/moonsworth/lunar/genesis/ForwardingBlockingQueue.java	ForwardingBlockingQueue	com.google.common.util.concurrent.ForwardingBlockingQueue	50.92	21.34	0	21	BlockingQueue; CanIgnoreReturnValue; Collection
src/main/java/com/moonsworth/lunar/genesis/ForwardingCache$SimpleForwardingCache.java	ForwardingCache$SimpleForwardingCache	com.google.common.cache.ForwardingCache$SimpleForwardingCache	20.46	8.19	0	6	Cache; ForwardingCache; ForwardingCache$SimpleForwardingCache
src/main/java/com/moonsworth/lunar/genesis/ForwardingCollection.java	ForwardingCollection	com.google.common.collect.ForwardingCollection	112.95	49.10	0	50	CanIgnoreReturnValue; Collection; ForwardingCollection
src/main/java/com/moonsworth/lunar/genesis/ForwardingConcurrentMap.java	ForwardingConcurrentMap	com.google.common.collect.ForwardingConcurrentMap	34.19	15.04	0	17	CanIgnoreReturnValue; ConcurrentMap; ForwardingConcurrentMap
src/main/java/com/moonsworth/lunar/genesis/ForwardingCondition.java	ForwardingCondition	com.google.common.util.concurrent.ForwardingCondition	51.49	18.20	0	15	Condition; Date; ForwardingCondition
src/main/java/com/moonsworth/lunar/genesis/ForwardingFuture$SimpleForwardingFuture.java	ForwardingFuture$SimpleForwardingFuture	com.google.common.util.concurrent.ForwardingFuture$SimpleForwardingFuture	24.73	8.19	0	10	ForwardingFuture; ForwardingFuture$SimpleForwardingFuture; Future
src/main/java/com/moonsworth/lunar/genesis/ForwardingFuture.java	ForwardingFuture	com.google.common.util.concurrent.ForwardingFuture	40.73	14.74	0	18	CanIgnoreReturnValue; ForwardingFuture; ForwardingObject
src/main/java/com/moonsworth/lunar/genesis/ForwardingIterator.java	ForwardingIterator	com.google.common.collect.ForwardingIterator	28.10	9.05	0	15	CanIgnoreReturnValue; ForwardingIterator; ForwardingObject
src/main/java/com/moonsworth/lunar/genesis/ForwardingList.java	ForwardingList	com.google.common.collect.ForwardingList	127.13	66.54	0	51	Beta; CanIgnoreReturnValue; Collection
src/main/java/com/moonsworth/lunar/genesis/ForwardingListIterator.java	ForwardingListIterator	com.google.common.collect.ForwardingListIterator	41.71	17.94	0	18	CanIgnoreReturnValue; ForwardingIterator; ForwardingListIterator
src/main/java/com/moonsworth/lunar/genesis/ForwardingListMultimap.java	ForwardingListMultimap	com.google.common.collect.ForwardingListMultimap	41.67	14.01	0	22	CanIgnoreReturnValue; ForwardingListMultimap; ForwardingMultimap
src/main/java/com/moonsworth/lunar/genesis/ForwardingListenableFuture$SimpleForwardingListenableFuture.java	ForwardingListenableFuture$SimpleForwardingListenableFuture	com.google.common.util.concurrent.ForwardingListenableFuture$SimpleForwardingListenableFuture	20.30	8.19	0	6	ForwardingListenableFuture; ForwardingListenableFuture$SimpleForwardingListenableFuture; ListenableFuture
src/main/java/com/moonsworth/lunar/genesis/ForwardingListenableFuture.java	ForwardingListenableFuture	com.google.common.util.concurrent.ForwardingListenableFuture	34.55	13.35	0	15	CanIgnoreReturnValue; Executor; ForwardingFuture
src/main/java/com/moonsworth/lunar/genesis/ForwardingListeningExecutorService.java	ForwardingListeningExecutorService	com.google.common.util.concurrent.ForwardingListeningExecutorService	36.70	14.36	0	15	Callable; CanIgnoreReturnValue; ForwardingExecutorService
src/main/java/com/moonsworth/lunar/genesis/ForwardingLoadingCache$SimpleForwardingLoadingCache.java	ForwardingLoadingCache$SimpleForwardingLoadingCache	com.google.common.cache.ForwardingLoadingCache$SimpleForwardingLoadingCache	21.41	8.19	0	6	ForwardingLoadingCache; ForwardingLoadingCache$SimpleForwardingLoadingCache; LoadingCache
src/main/java/com/moonsworth/lunar/genesis/ForwardingLoadingCache.java	ForwardingLoadingCache	com.google.common.cache.ForwardingLoadingCache	31.27	13.67	0	10	ForwardingCache; ForwardingLoadingCache; GwtIncompatible
src/main/java/com/moonsworth/lunar/genesis/ForwardingLock.java	ForwardingLock	com.google.common.util.concurrent.ForwardingLock	44.59	18.75	0	14	Condition; ForwardingLock; Lock
src/main/java/com/moonsworth/lunar/genesis/ForwardingMap.java	ForwardingMap	com.google.common.collect.ForwardingMap	130.61	68.19	0	60	Beta; CanIgnoreReturnValue; Collection
src/main/java/com/moonsworth/lunar/genesis/ForwardingNavigableMap.java	ForwardingNavigableMap	com.google.common.collect.ForwardingNavigableMap	196.03	108.23	0	56	Beta; Entry; ForwardingNavigableMap
src/main/java/com/moonsworth/lunar/genesis/ForwardingNavigableSet.java	ForwardingNavigableSet	com.google.common.collect.ForwardingNavigableSet	122.82	57.32	0	37	Beta; ForwardingNavigableSet; ForwardingSortedSet
src/main/java/com/moonsworth/lunar/genesis/ForwardingQueue.java	ForwardingQueue	com.google.common.collect.ForwardingQueue	56.37	33.35	0	23	CanIgnoreReturnValue; ForwardingCollection; ForwardingQueue
src/main/java/com/moonsworth/lunar/genesis/ForwardingSet.java	ForwardingSet	com.google.common.collect.ForwardingSet	54.35	15.16	0	25	Collection; ForwardingCollection; ForwardingSet
src/main/java/com/moonsworth/lunar/genesis/ForwardingSetMultimap.java	ForwardingSetMultimap	com.google.common.collect.ForwardingSetMultimap	46.11	12.61	0	25	CanIgnoreReturnValue; Entry; ForwardingMultimap
src/main/java/com/moonsworth/lunar/genesis/ForwardingSortedMap.java	ForwardingSortedMap	com.google.common.collect.ForwardingSortedMap	98.44	48.24	1	36	fromKey must be <= toKey; Beta; ClassCastException; Comparable
