# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.files.mixin.AssetIndex	M	method1	getSha1	access alignment: method1 renamed but a receiver on AssetIndex was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method5	getTime	access alignment: method5 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on Files was not rewritten
com.moonsworth.lunar.files.mixin.Files2	M	method1	getSha1	access alignment: method1 renamed but a receiver on Files2 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method4	getTime	access alignment: method4 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files3	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on Files3 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method10	getLatest	access alignment: method10 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.Files4	M	method11	getVersions	access alignment: method11 renamed but a receiver on Files4 was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method3	getAssetIndex	access alignment: method3 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method5	getTime	access alignment: method5 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.ResolvedVersion	M	method6	getReleaseTime	access alignment: method6 renamed but a receiver on ResolvedVersion was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method4	getTime	access alignment: method4 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionInfo	M	method5	getReleaseTime	access alignment: method5 renamed but a receiver on VersionInfo was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method10	getLatest	access alignment: method10 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.files.mixin.VersionManifest	M	method11	getVersions	access alignment: method11 renamed but a receiver on VersionManifest was not rewritten
com.moonsworth.lunar.network.MixinHelper2	M	method31	lunarClientGitBranch	access alignment: method31 renamed but a receiver on MixinHelper2 was not rewritten
com.moonsworth.lunar.network.MixinHelper13	M	method3	richStatusSource	access alignment: method3 renamed but a receiver on MixinHelper13 was not rewritten
com.moonsworth.lunar.network.MixinHelper12	M	method4	hostUsername	access alignment: method4 renamed but a receiver on MixinHelper12 was not rewritten
