src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/MixinHelperType.java	MixinHelperType	com.fasterxml.jackson.databind.type.LogicalType	50.10	29.64	0	22	Array; Binary; Boolean
src/main/java/com/moonsworth/lunar/MixinHelperType2.java	MixinHelperType2	com.fasterxml.jackson.annotation.PropertyAccessor	48.84	23.35	0	12	ALL; CREATOR; FIELD
src/main/java/com/moonsworth/lunar/MixinHelperType2_2.java	MixinHelperType2_2	com.fasterxml.jackson.core.JsonToken	117.52	67.58	0	33	END_ARRAY; END_OBJECT; FIELD_NAME
src/main/java/com/moonsworth/lunar/MixinHelperType2_3.java	MixinHelperType2_3	com.fasterxml.jackson.databind.cfg.CoercionInputShape	24.81	10.39	0	10	Array; Binary; Boolean
src/main/java/com/moonsworth/lunar/MixinHelperType2_4.java	MixinHelperType2_4	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat	135.23	120.88	2	32	ip-address; utc-millisec; COLOR; DATE; DATE_TIME
src/main/java/com/moonsworth/lunar/MixinHelperType3.java	MixinHelperType3	com.fasterxml.jackson.annotation.OptBoolean	23.58	11.88	0	9	Boolean; DEFAULT; FALSE
src/main/java/com/moonsworth/lunar/MixinHelperType4.java	MixinHelperType4	com.fasterxml.jackson.annotation.Nulls	19.26	6.11	0	6	AS_EMPTY; DEFAULT; FAIL
src/main/java/com/moonsworth/lunar/MixinHelperType_7.java	MixinHelperType_7	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonFormatTypes	44.09	21.77	0	21	ANY; ARRAY; BOOLEAN
src/main/java/com/moonsworth/lunar/MixinHelper_10.java	MixinHelper_10	com.fasterxml.jackson.databind.deser.std.DateDeserializers	46.00	30.27	3	12	java.util.Calendar; java.util.Date; Calendar; Class; Date
src/main/java/com/moonsworth/lunar/MixinHelper_15.java	MixinHelper_15	com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer	143.47	50.82	1	52	) now exceeds maximum, ; Arrays; AtomicReference; BitSet
src/main/java/com/moonsworth/lunar/MixinHelper_2.java	MixinHelper_2	com.fasterxml.jackson.core.format.DataFormatMatcher	28.45	12.79	0	14	ByteArrayInputStream; INCONCLUSIVE; IllegalArgumentException
src/main/java/com/moonsworth/lunar/MixinHelper_20.java	MixinHelper_20	com.fasterxml.jackson.core.type.TypeReference	42.04	12.18	0	20	Class; Comparable; IllegalArgumentException
src/main/java/com/moonsworth/lunar/MixinHelper_23.java	MixinHelper_23	org.openapitools.jackson.nullable.JsonNullableDeserializer	22.95	8.75	0	10	MixinHelper102_4; MixinHelper53; MixinHelper73_3
src/main/java/com/moonsworth/lunar/MixinHelper_3.java	MixinHelper_3	org.openapitools.jackson.nullable.JsonNullableTypeModifier	15.56	4.82	0	5	MixinHelper26; SerializableImpl2_5; com
src/main/java/com/moonsworth/lunar/MixinHelper_30.java	MixinHelper_30	com.fasterxml.jackson.databind.type.ClassStack	24.19	8.49	0	16	ArrayList; Class; ClassStack
src/main/java/com/moonsworth/lunar/MixinHelper_33.java	MixinHelper_33	com.fasterxml.jackson.core.filter.TokenFilter	29.62	9.65	1	11	TokenFilter.INCLUDE_ALL; BigDecimal; BigInteger; INCLUDE_ALL
src/main/java/com/moonsworth/lunar/MixinHelper_9.java	MixinHelper_9	com.typesafe.config.impl.SimpleConfig	46.02	16.30	0	21	ChronoUnit; Collectors; DAYS
src/main/java/com/moonsworth/lunar/OutputStreamSerializer_2.java	OutputStreamSerializer_2	com.fasterxml.jackson.core.util.ByteArrayBuilder	74.59	42.74	0	35	ByteArrayBuilder; IllegalStateException; Internal
