cluster	package	n_classes	n_lazy
31	com.moonsworth.lunar.client.framework.feature.mod.highlight	18	7
31	com.moonsworth.lunar.client.framework.feature.mod.holograms	37	15
31	com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing	26	14
31	com.moonsworth.lunar.client.framework.feature.mod.holograms.fishing.mixin	2	0
31	com.moonsworth.lunar.client.framework.feature.mod.holograms.gui	2	1
32	com.moonsworth.lunar.client.framework.feature.mod.holograms.highlight	5	6
32	com.moonsworth.lunar.client.framework.feature.mod.holograms.highlight.mixin	2	0
32	com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	14	7
32	com.moonsworth.lunar.client.framework.feature.mod.holograms.nameplate	2	1
32	com.moonsworth.lunar.client.framework.feature.mod.holograms.rewindhandlers	4	8
32	com.moonsworth.lunar.client.framework.feature.mod.impl.alert.excavation	4	1
32	com.moonsworth.lunar.client.framework.feature.mod.impl.alert.excavation.mixin	5	2
32	com.moonsworth.lunar.client.framework.feature.mod.impl.alert.mixin	1	0
33	com.moonsworth.lunar.client.framework.feature.mod.impl.beeheemoth.mixin	1	0
33	com.moonsworth.lunar.client.framework.feature.mod.impl.burrow	1	0
33	com.moonsworth.lunar.client.framework.feature.mod.impl.burrow.mixin	5	2
33	com.moonsworth.lunar.client.framework.feature.mod.impl.calculator	3	1
33	com.moonsworth.lunar.client.framework.feature.mod.impl.calculator.mixin	6	1
33	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints	13	5
33	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.dungeonwaypoints.mixin	15	6
33	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.ice	1	0
34	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.dungeon.practice	2	1
34	com.moonsworth.lunar.client.framework.feature.mod.impl.chest.mixin	1	0
34	com.moonsworth.lunar.client.framework.feature.mod.impl.click.storageoverlay	2	1
34	com.moonsworth.lunar.client.framework.feature.mod.impl.click.storageoverlay.mixin	7	5
34	com.moonsworth.lunar.client.framework.feature.mod.impl.fishing.mixin	1	0
34	com.moonsworth.lunar.client.framework.feature.mod.impl.gui	1	1
34	com.moonsworth.lunar.client.framework.feature.mod.impl.guiCore	2	2
34	com.moonsworth.lunar.client.framework.feature.mod.impl.ultrasequencer	2	1
35	com.moonsworth.lunar.client.framework.feature.mod.mixin	43	21
35	com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers	40	24
35	com.moonsworth.lunar.client.framework.feature.mod.rewindhandlers.mixin	2	0
35	com.moonsworth.lunar.client.framework.feature.momentum	2	0
35	com.moonsworth.lunar.client.framework.feature.motionblur	2	0
35	com.moonsworth.lunar.client.framework.feature.nickhider	8	2
35	com.moonsworth.lunar.client.framework.feature.onesevenvisuals	2	0
35	com.moonsworth.lunar.client.framework.feature.onesevenvisuals.legacy	1	0
36	com.moonsworth.lunar.client.framework.feature.onesevenvisuals.modern	1	0
36	com.moonsworth.lunar.client.framework.feature.overlay	6	0
36	com.moonsworth.lunar.client.framework.feature.pkg	12	6
36	com.moonsworth.lunar.client.framework.feature.pkg.mixin	5	7
36	com.moonsworth.lunar.client.framework.feature.potioncounter	2	0
36	com.moonsworth.lunar.client.framework.feature.potioneffects	10	3
36	com.moonsworth.lunar.client.framework.feature.pvpinfo	2	0
36	com.moonsworth.lunar.client.framework.feature.pvpinfo.pvp	2	2
37	com.moonsworth.lunar.client.framework.feature.quickplay	1	0
37	com.moonsworth.lunar.client.framework.feature.quickplay.mixin	10	0
37	com.moonsworth.lunar.client.framework.feature.render	2	0
37	com.moonsworth.lunar.client.framework.feature.rewind	30	12
37	com.moonsworth.lunar.client.framework.feature.rewind.fishing	4	3
37	com.moonsworth.lunar.client.framework.feature.rewind.gui	19	13
37	com.moonsworth.lunar.client.framework.feature.rewind.highlight	11	6
37	com.moonsworth.lunar.client.framework.feature.rewind.highlight.nameplate	7	5
38	com.moonsworth.lunar.client.framework.feature.rewind.holograms	4	3
38	com.moonsworth.lunar.client.framework.feature.rewind.mixin	5	2
38	com.moonsworth.lunar.client.framework.feature.rewind.mixin.nameplate	2	4
38	com.moonsworth.lunar.client.framework.feature.rewind.nameplate	26	3
38	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin	2	0
38	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.colorsaturation	1	0
38	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.fishing	4	0
38	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.gui	7	0
39	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.highlight	1	0
39	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.holograms	17	0
39	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.nameplate	3	0
39	com.moonsworth.lunar.client.framework.feature.rewind.nameplate.mixin.rewindhandlers	2	0
39	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers	19	10
39	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest	2	1
39	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.click	2	1
39	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.colorsaturation	2	1
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates	5	6
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.fishing	3	1
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight	4	2
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms	4	1
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.mixin	4	2
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.nameplate	8	5
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.rewindhandlersCore	11	0
40	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.rewindhandlersCore.mixin	2	1
41	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlersNameplate	9	6
41	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlersNameplate.mixin	3	1
41	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlersNameplateCore	20	11
41	com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlersNameplateCore.mixin	15	12
41	com.moonsworth.lunar.client.framework.feature.saturation	4	4
41	com.moonsworth.lunar.client.framework.feature.screenshot	10	2
41	com.moonsworth.lunar.client.framework.feature.scrollabletooltips	4	1
41	com.moonsworth.lunar.client.framework.feature.scrollabletooltips.mixin	6	2
42	com.moonsworth.lunar.client.framework.feature.snaplook	2	0
42	com.moonsworth.lunar.client.framework.feature.soundchanger	3	1
42	com.moonsworth.lunar.client.framework.feature.teamview	1	0
42	com.moonsworth.lunar.client.framework.feature.tiertagger	30	6
42	com.moonsworth.lunar.client.framework.feature.tiertagger.mixin	8	3
42	com.moonsworth.lunar.client.framework.feature.tiertagger.nameplate	3	0
42	com.moonsworth.lunar.client.framework.feature.tiertagger.rewindhandlers	3	0
42	com.moonsworth.lunar.client.framework.feature.titles	3	1
43	com.moonsworth.lunar.client.framework.feature.toggle	2	0
43	com.moonsworth.lunar.client.framework.feature.tps	7	1
43	com.moonsworth.lunar.client.framework.feature.waila	18	7
43	com.moonsworth.lunar.client.framework.feature.waila.mixin	4	1
43	com.moonsworth.lunar.client.framework.feature.waypoints	11	3
43	com.moonsworth.lunar.client.framework.feature.waypoints.mixin	7	1
43	com.moonsworth.lunar.client.framework.feature.waypoints.mixin.holograms	1	0
43	com.moonsworth.lunar.client.framework.feature.waypoints.mixin.nameplate	1	0
44	com.moonsworth.lunar.client.framework.feature.waypoints.mixin.rewindhandlers	1	0
44	com.moonsworth.lunar.client.framework.feature.worldeditcui	24	2
44	com.moonsworth.lunar.client.framework.feature.worldeditcui.mixin	3	0
44	com.moonsworth.lunar.client.framework.holograms	1	0
44	com.moonsworth.lunar.client.framework.hud	7	0
44	com.moonsworth.lunar.client.framework.listener	18	0
44	com.moonsworth.lunar.client.framework.listener.mixin	8	0
44	com.moonsworth.lunar.client.framework.listener.nameplate	3	0
45	com.moonsworth.lunar.client.framework.listener.rewindhandlers	5	0
45	com.moonsworth.lunar.client.framework.loading	2	0
45	com.moonsworth.lunar.client.framework.mixin	2	0
45	com.moonsworth.lunar.client.framework.nameplate	47	11
45	com.moonsworth.lunar.client.framework.nameplate.mixin	2	0
45	com.moonsworth.lunar.client.framework.transform	6	0
45	com.moonsworth.lunar.client.freelook	1	0
45	com.moonsworth.lunar.client.glintcolorizer	71	19
46	com.moonsworth.lunar.client.glintcolorizer.highlight	7	2
46	com.moonsworth.lunar.client.glintcolorizer.holograms	3	0
46	com.moonsworth.lunar.client.glintcolorizer.mixin	4	0
46	com.moonsworth.lunar.client.glintcolorizer.nameplate	11	2
46	com.moonsworth.lunar.client.glintcolorizer.nameplate.mixin	6	1
46	com.moonsworth.lunar.client.glintcolorizer.rewindhandlers	6	0
46	com.moonsworth.lunar.client.gui	4	0
46	com.moonsworth.lunar.client.gui.blog	2	0
47	com.moonsworth.lunar.client.gui.external	4	0
47	com.moonsworth.lunar.client.gui.external.gui	1	0
47	com.moonsworth.lunar.client.gui.external.highlight	1	0
47	com.moonsworth.lunar.client.gui.external.holograms	1	0
47	com.moonsworth.lunar.client.gui.external.mixin	1	0
47	com.moonsworth.lunar.client.gui.external.rewindhandlers	1	0
47	com.moonsworth.lunar.client.gui.notification	7	0
47	com.moonsworth.lunar.client.gui.prompt	7	0
48	com.moonsworth.lunar.client.guiRewindhandlers	19	18
48	com.moonsworth.lunar.client.guiRewindhandlers.holograms	2	1
48	com.moonsworth.lunar.client.guiRewindhandlers.mixin	8	5
48	com.moonsworth.lunar.client.guiRewindhandlers.nameplate	3	3
48	com.moonsworth.lunar.client.guiRewindhandlers.rewindhandlers	5	4
48	com.moonsworth.lunar.client.heightlimit	2	1
48	com.moonsworth.lunar.client.highlight	30	33
48	com.moonsworth.lunar.client.highlight.fishing	49	35
49	com.moonsworth.lunar.client.highlight.mixin	10	10
49	com.moonsworth.lunar.client.highlight.mixin.fishing	27	35
49	com.moonsworth.lunar.client.highlight.mixin.fishing.mixin	6	5
49	com.moonsworth.lunar.client.highlight.mixin.gui	26	26
49	com.moonsworth.lunar.client.highlight.mixin.highlight	32	39
49	com.moonsworth.lunar.client.highlight.mixin.holograms	5	4
49	com.moonsworth.lunar.client.highlight.mixin.holograms.mixin	1	0
49	com.moonsworth.lunar.client.highlight.mixin.nameplate	5	5
50	com.moonsworth.lunar.client.highlight.mixin.rewindhandlers	6	5
50	com.moonsworth.lunar.client.hitbox	7	1
50	com.moonsworth.lunar.client.hitcolor	1	0
50	com.moonsworth.lunar.client.holograms	11	7
50	com.moonsworth.lunar.client.horsestats	10	7
50	com.moonsworth.lunar.client.horsestats.mixin	5	4
50	com.moonsworth.lunar.client.inactive	23	12
50	com.moonsworth.lunar.client.inactive.gui	3	2
51	com.moonsworth.lunar.client.inactive.mixin	5	2
51	com.moonsworth.lunar.client.inactive.mixin.colorsaturation	3	2
51	com.moonsworth.lunar.client.inactive.mixin.colorsaturation.mixin	2	1
51	com.moonsworth.lunar.client.inactive.mixin.fishing	13	10
51	com.moonsworth.lunar.client.inactive.mixin.gui	6	2
51	com.moonsworth.lunar.client.inactive.mixin.gui.mixin	6	4
51	com.moonsworth.lunar.client.inactive.mixin.highlight	4	3
51	com.moonsworth.lunar.client.inactive.mixin.highlight.mixin	7	6
52	com.moonsworth.lunar.client.inactive.mixin.holograms	3	1
52	com.moonsworth.lunar.client.inactive.mixin.holograms.mixin	3	2
52	com.moonsworth.lunar.client.inactive.mixin.nameplate	3	2
52	com.moonsworth.lunar.client.inactive.mixin.rewindhandlers.mixin	3	1
52	com.moonsworth.lunar.client.inactive.rewindhandlers	24	19
52	com.moonsworth.lunar.client.inventorymod	5	2
52	com.moonsworth.lunar.client.itemcounter	1	3
52	com.moonsworth.lunar.client.itemphysics.mixin	3	2
53	com.moonsworth.lunar.client.itemtracker	1	0
53	com.moonsworth.lunar.client.keystrokes	5	2
53	com.moonsworth.lunar.client.killsounds	36	15
53	com.moonsworth.lunar.client.killsounds.mixin	7	5
53	com.moonsworth.lunar.client.knockbacktrainer	1	0
53	com.moonsworth.lunar.client.lighting	81	10
53	com.moonsworth.lunar.client.lighting.mixin	1	1
53	com.moonsworth.lunar.client.lighting.nameplate	15	5
54	com.moonsworth.lunar.client.lighting.nameplate.mixin	8	5
54	com.moonsworth.lunar.client.lighting.rewindhandlers	1	0
