package	old	new	evidence
com.moonsworth.lunar.genesis	BiPredicateLoader2	PairwiseEquivalence	Guava 29.0-jre com/google/common/base/PairwiseEquivalence (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	BiPredicateLoader3	FunctionalEquivalence	Guava 29.0-jre com/google/common/base/FunctionalEquivalence (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CExtension	RowSortedTable	Guava 29.0-jre com/google/common/collect/RowSortedTable (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator2$1	DenseImmutableTable$1	Guava 29.0-jre com/google/common/collect/DenseImmutableTable$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator22$1	DiscreteDomain$1	Guava 29.0-jre com/google/common/collect/DiscreteDomain$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator222$Data2	TreeBasedTable$Factory	Guava 29.0-jre com/google/common/collect/TreeBasedTable$Factory (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator23$Data	HashBasedTable$Factory	Guava 29.0-jre com/google/common/collect/HashBasedTable$Factory (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator3$Data2	ArrayTable$ArrayMap	Guava 29.0-jre com/google/common/collect/ArrayTable$ArrayMap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator4$1	EmptyContiguousSet$1	Guava 29.0-jre com/google/common/collect/EmptyContiguousSet$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator4$Data3	ImmutableTable$MutableCell	Guava 29.0-jre com/google/common/collect/ImmutableTable$MutableCell (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CIterator432$1	ImmutableClassToInstanceMap$1	Guava 29.0-jre com/google/common/collect/ImmutableClassToInstanceMap$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CloseableLoader$Extension	FinalizableReferenceQueue$FinalizerLoader	Guava 29.0-jre com/google/common/base/FinalizableReferenceQueue$FinalizerLoader (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CollectionExtension$Extension	Multiset$Entry	Guava 29.0-jre com/google/common/collect/Multiset$Entry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	CollectionExtension2	SortedMultisetBridge	Guava 29.0-jre com/google/common/collect/SortedMultisetBridge (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ComparableExtension	RangeMap	Guava 29.0-jre com/google/common/collect/RangeMap (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ComparableIterator2$1	TreeRangeMap$1	Guava 29.0-jre com/google/common/collect/TreeRangeMap$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ComparableIterator2$Data	TreeRangeMap$RangeMapEntry	Guava 29.0-jre com/google/common/collect/TreeRangeMap$RangeMapEntry (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator$Data2	Ordering$ArbitraryOrdering	Guava 29.0-jre com/google/common/collect/Ordering$ArbitraryOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator$Data3	Ordering$IncomparableValueException	Guava 29.0-jre com/google/common/collect/Ordering$IncomparableValueException (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator10	NullsLastOrdering	Guava 29.0-jre com/google/common/collect/NullsLastOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator11	NaturalOrdering	Guava 29.0-jre com/google/common/collect/NaturalOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator12	AllEqualOrdering	Guava 29.0-jre com/google/common/collect/AllEqualOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator13	UsingToStringOrdering	Guava 29.0-jre com/google/common/collect/UsingToStringOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator2	ReverseOrdering	Guava 29.0-jre com/google/common/collect/ReverseOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator3	LexicographicalOrdering	Guava 29.0-jre com/google/common/collect/LexicographicalOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator5	CompoundOrdering	Guava 29.0-jre com/google/common/collect/CompoundOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator6	ReverseNaturalOrdering	Guava 29.0-jre com/google/common/collect/ReverseNaturalOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator7	ByFunctionOrdering	Guava 29.0-jre com/google/common/collect/ByFunctionOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator8	NullsFirstOrdering	Guava 29.0-jre com/google/common/collect/NullsFirstOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	Comparator9	ComparatorOrdering	Guava 29.0-jre com/google/common/collect/ComparatorOrdering (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ConditionBase	ForwardingCondition	Guava 29.0-jre com/google/common/util/concurrent/ForwardingCondition (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	DataInputExtension	ByteArrayDataInput	Guava 29.0-jre com/google/common/io/ByteArrayDataInput (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	DataOutputExtension	ByteArrayDataOutput	Guava 29.0-jre com/google/common/io/ByteArrayDataOutput (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorServiceExtension	ListeningExecutorService	Guava 29.0-jre com/google/common/util/concurrent/ListeningExecutorService (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorServiceExtension2	ListeningScheduledExecutorService	Guava 29.0-jre com/google/common/util/concurrent/ListeningScheduledExecutorService (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorServiceTask	WrappingExecutorService	Guava 29.0-jre com/google/common/util/concurrent/WrappingExecutorService (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorServiceTask$1	WrappingExecutorService$1	Guava 29.0-jre com/google/common/util/concurrent/WrappingExecutorService$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorServiceTask2	WrappingScheduledExecutorService	Guava 29.0-jre com/google/common/util/concurrent/WrappingScheduledExecutorService (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	ExecutorTask$1	SequentialExecutor$1	Guava 29.0-jre com/google/common/util/concurrent/SequentialExecutor$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FileSystemException	InsecureRecursiveDeleteException	Guava 29.0-jre com/google/common/io/InsecureRecursiveDeleteException (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilenameFilter	PatternFilenameFilter	Guava 29.0-jre com/google/common/io/PatternFilenameFilter (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterInputStreamLoader	LittleEndianDataInputStream	Guava 29.0-jre com/google/common/io/LittleEndianDataInputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterInputStreamLoader2	CountingInputStream	Guava 29.0-jre com/google/common/io/CountingInputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterInputStreamLoader_2	HashingInputStream	Guava 29.0-jre com/google/common/hash/HashingInputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterOutputStreamSerializer	HashingOutputStream	Guava 29.0-jre com/google/common/hash/HashingOutputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterOutputStreamSerializer2	LittleEndianDataOutputStream	Guava 29.0-jre com/google/common/io/LittleEndianDataOutputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FilterOutputStreamSerializer_2	CountingOutputStream	Guava 29.0-jre com/google/common/io/CountingOutputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FutureExtension	ListenableFuture	Guava 29.0-jre com/google/common/util/concurrent/ListenableFuture (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FutureExtension2	ImmediateFuture	Guava 29.0-jre com/google/common/util/concurrent/ImmediateFuture (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FutureExtension3	ListenableScheduledFuture	Guava 29.0-jre com/google/common/util/concurrent/ListenableScheduledFuture (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	FutureTask	ListenableFutureTask	Guava 29.0-jre com/google/common/util/concurrent/ListenableFutureTask (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	InputStreamLoader	MultiInputStream	Guava 29.0-jre com/google/common/io/MultiInputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	InputStreamLoader2	ReaderInputStream	Guava 29.0-jre com/google/common/io/ReaderInputStream (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	InvocationHandler	AbstractInvocationHandler	Guava 29.0-jre com/google/common/reflect/AbstractInvocationHandler (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	IterableBase$1	ImmutableEnumMap$1	Guava 29.0-jre com/google/common/collect/ImmutableEnumMap$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	IterableBase$Data	EndpointPair$Unordered	Guava 29.0-jre com/google/common/graph/EndpointPair$Unordered (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	IterableBase$Data2	EndpointPair$Ordered	Guava 29.0-jre com/google/common/graph/EndpointPair$Ordered (coverage matcher score 1.000)
