count	file	class	tokens
381	com/moonsworth/lunar/client/framework/feature/armorstatus/nameplate/Nameplate4.java	Nameplate4	arg,field,flag,method,number,text,value
380	com/moonsworth/lunar/client/mod/misc/SkyblockGardenPests.java	SkyblockGardenPests	arg,field,flag,method,number,obj,text
379	com/moonsworth/lunar/forge/lib/MixinHelper710.java	MixinHelper710	field,flag,method,number,obj,text
379	com/moonsworth/lunar/client/framework/feature/rewind/Fishing2Loader.java	Fishing2Loader	field,flag,method,number,obj,value
378	com/moonsworth/lunar/client/markers/holograms/HologramsIterator.java	HologramsIterator	arg,field,flag,method,number,text,value
373	com/moonsworth/lunar/client/framework/feature/keystrokes/Framework7Extension2.java	Framework7Extension2	arg,field,flag,method,number,text,value
369	com/moonsworth/lunar/legacy/mixin/RendererLivingEntityMixin.java	RendererLivingEntityMixin	arg,field,flag,method,number,obj,text,value
369	com/moonsworth/lunar/client/framework/feature/crosshair/crosshairelytra/Crosshairelytra.java	Crosshairelytra	field,flag,method,number,value
368	com/moonsworth/lunar/client/mod/misc/Rewind.java	Rewind	arg,field,flag,method,number,text,value
364	com/moonsworth/lunar/client/mod/misc/SkyblockTerminalSolvers.java	SkyblockTerminalSolvers	field,method,number,text
363	com/moonsworth/lunar/client/mod/misc/SkyblockRenderDebugUtilities.java	SkyblockRenderDebugUtilities	field,method,number,text,value
363	com/moonsworth/lunar/client/mod/hud/HypixelBedwarsTimersChildHud.java	HypixelBedwarsTimersChildHud	arg,field,flag,method,number,text,value
359	com/moonsworth/lunar/client/framework/feature/f3display/F3display2.java	F3display2	field,flag,method,number,text,value
357	com/moonsworth/lunar/forge/lib/OutputStreamBase_2.java	OutputStreamBase_2	field,flag,method,number
357	com/moonsworth/lunar/client/markers/holograms/Holograms.java	Holograms	arg,field,flag,method,number,text,value
355	com/moonsworth/lunar/client/framework/feature/itemcounter/mixin/Itemcounter.java	Itemcounter	arg,field,method,number,text
353	com/moonsworth/lunar/client/util/nameplate/Nameplate.java	Nameplate	arg,field,flag,method,number,obj,text,value
352	com/moonsworth/lunar/legacy/mixin/GuiNewChatMessageMixin.java	GuiNewChatMessageMixin	arg,flag,method,number,text,value
349	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/rewindhandlers/Holograms4Iterator.java	Holograms4Iterator	arg,field,flag,method,number,text,value
346	com/moonsworth/lunar/client/framework/feature/mod/holograms/GuiRewindhandlersHandler23_2.java	GuiRewindhandlersHandler23_2	arg,field,flag,method,number,text,value
345	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/chest/Chest2.java	Chest2	field,flag,method,number,obj,text
342	com/moonsworth/lunar/forge/lib/MixinExtra7.java	MixinExtra7	field,flag,method,number,text
342	com/moonsworth/lunar/client/mod/hud/HypixelBedwarsResourceCounterChild.java	HypixelBedwarsResourceCounterChild	field,flag,method,number,text,value
341	com/moonsworth/lunar/forge/lib/MixinShared.java	MixinShared	field,flag,method,number,text
341	com/moonsworth/lunar/forge/lib/MixinHelper7.java	MixinHelper7	field,flag,method,number,text,value
338	com/moonsworth/lunar/forge/lib/InputStreamBase_13.java	InputStreamBase_13	field,flag,method,number,obj,text
338	com/moonsworth/lunar/client/framework/feature/rewind/Rewind2_3.java	Rewind2_3	arg,field,flag,method,number,text
337	com/moonsworth/lunar/forge/lib/MixinExtra5.java	MixinExtra5	field,flag,method,number
337	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/Rewindhandlers_3.java	Rewindhandlers_3	arg,field,flag,method,number,text,value
336	com/moonsworth/lunar/client/mod/hud/SkyblockScathaTrackerHud.java	SkyblockScathaTrackerHud	field,flag,method,number,value
331	com/moonsworth/lunar/client/markers/Markers2Handler2.java	Markers2Handler2	field,flag,method,text
329	com/moonsworth/lunar/client/framework/feature/crosshair/crosshairelytra/Crosshairelytra3.java	Crosshairelytra3	field,flag,method,number,text,value
328	net/minecraft/world/World.java	World	flag,i,j,k,var
324	com/moonsworth/lunar/client/mod/hud/SkyblockHoppityEggHud.java	SkyblockHoppityEggHud	field,flag,method,number,obj,text
323	com/moonsworth/lunar/client/framework/feature/mod/holograms/fishing/GuiRewindhandlersHandler26.java	GuiRewindhandlersHandler26	arg,field,method,number,obj,text,value
322	com/moonsworth/lunar/client/mod/hud/Tab.java	Tab	field,method,number,text,value
321	com/moonsworth/lunar/client/framework/feature/mod/holograms/fishing/GuiRewindhandlersHandler27.java	GuiRewindhandlersHandler27	field,flag,method,number,value
319	com/moonsworth/lunar/client/framework/feature/mod/impl/chest/dungeon/dungeonwaypoints/Dungeonwaypoints3.java	Dungeonwaypoints3	arg,field,flag,method,number,text
316	com/moonsworth/lunar/forge/lib/ZipEntryHandler.java	ZipEntryHandler	field,flag,method,number,obj,text
315	com/moonsworth/lunar/client/mod/hud/Keystrokes.java	Keystrokes	arg,field,flag,method,number,text,value
314	com/moonsworth/lunar/client/mod/misc/RewindHandlers4.java	RewindHandlers4	arg,field,flag,method,number,text
312	com/moonsworth/lunar/client/framework/feature/mod/fishing/highlight/Highlight5.java	Highlight5	field,flag,method,number,text,value
308	com/moonsworth/lunar/forge/lib/MixinLegacy5.java	MixinLegacy5	field,flag,method,number
306	com/moonsworth/lunar/forge/lib/InputStreamBase3.java	InputStreamBase3	field,flag,method,number
305	com/moonsworth/lunar/forge/lib/MixinHelper6_2.java	MixinHelper6_2	field,method,number,text
305	com/moonsworth/lunar/client/framework/feature/potioneffects/Potioneffects3Impl3.java	Potioneffects3Impl3	field,flag,method,number,text,value
301	com/moonsworth/lunar/client/framework/feature/mod/MixinHelper23.java	MixinHelper23	field,flag,method,number,text
301	com/moonsworth/lunar/client/framework/feature/f3display/F3display.java	F3display	arg,field,flag,method,number,text,value
300	com/moonsworth/lunar/client/mod/render/SkyblockVanillaItemModels.java	SkyblockVanillaItemModels	arg,field,flag,method,number,text
298	com/moonsworth/lunar/forge/lib/guava/math/IntMath.java	IntMath	flag,number
298	com/moonsworth/lunar/client/glintcolorizer/nameplate/mixin/Glintcolorizer2Base.java	Glintcolorizer2Base	field,flag,method,number,value
296	com/moonsworth/lunar/client/mod/render/GlintColorizer.java	GlintColorizer	arg,field,flag,method,number,value
295	com/moonsworth/lunar/client/framework/feature/pkg/mixin/Pkg2.java	Pkg2	field,flag,method,number,value
